,Cena,Liczba pokoi,Piętro,Rok budowy,Jestem,Rodzaj nieruchomości,Umeblowane,Liczba pięter w budynku,Powierzchnia,Niezależne pokoje,Dostępne od,Kaucja,Typ ogrzewania,Nr licencji pośrednika,Nr oferty,Dodatkowe informacje,Liczba osób w pokoju,Powierzchnia działki
2789,20 670 zł,,,1985,Firmą,Biuro,Nie,,530,,,,,9784,NE03040,"
                
                                            Gaz
                                            Siła
                                    
            ",,
2790,6 750 zł,,,2020,Firmą,Biuro,Nie,,125,,,,,,,,,
2791,27 000 zł,,,2020,Firmą,Biuro,Nie,,500,,,,,,,,,
2792,13 500 zł,,,2020,Firmą,Biuro,Nie,,250,,,,,,,,,
2793,15 000 zł,,,,Firmą,Działka usługowa,Nie,,5 000,,,,,,885059,,,5 000
2794,4 900 zł,,Parter,,Firmą,Lokal usługowy,Nie,,60,,,,,,540603,,,
2795,5 000 zł,,,2016,Firmą,Lokal usługowy,Nie,,85,,,,C. o. miejskie,,W00563303,"
                
                                            Siła
                                    
            ",,
2796,12 500 zł,,2,2018,Firmą,Biuro,Nie,3,250,,,,Gazowe,,,,,
2797,6 000 zł,,,,Firmą,Lokal usługowy,Nie,,72,,07-09-2022,,,,,,,
2798,47 017 zł,,,2020,Firmą,Biuro,Nie,13,700,,,,Inne,,,,,
2799,24 852 zł,,,2020,Firmą,Biuro,Nie,13,370,,,,Inne,,,,,
2800,14 421 zł,,,2010,Firmą,Magazyn,Nie,,964,,,,Miejskie,,,,,
2801,31 500 zł,,,2020,Firmą,Biuro,Nie,13,500,,,,Inne,,,,,
2802,25 920 zł,,1,1977,Firmą,Biuro,Nie,,648,,,,Inne,,,,,
2803,36 580 zł,,5,,Firmą,Lokal usługowy,Tak,,620,,Od zaraz,,C. o. miejskie,3099,SR01434,"
                
                                            Garaż
                                            Winda
                                            Siła
                                            Miejsce parkingowe
                                            Internet
                                    
            ",,
2804,14 000 zł,15,Parter,,Firmą,Biuro,Nie,1,400,,Od zaraz,,C. o. miejskie,3099,SR01318,,,
2805,7 500 zł,3,2,,Firmą,Dom piętro domu,Tak,2,120,,,,Kotłownia lokalna,,JJ01061994,"
                
                                            Gaz
                                            Siła
                                            Piwnica
                                            Miejsce parkingowe
                                            Internet
                                    
            ",,800
2806,40 000 zł,,,,Firmą,Działka przemysłowa,Nie,,20 000,,,,,3350,IC03037,"
                
                                            Gaz
                                            Siła
                                    
            ",,20 000
2807,30 000 zł,,Parter,,Firmą,Lokal przemysłowy,Nie,3,900,,,,Gazowe,4048,PD01740,"
                
                                            Gaz
                                            Siła
                                            Miejsce parkingowe
                                    
            ",,1 500
2808,13 500 zł,8,Parter,,Firmą,Biuro,Nie,,"117,50",,,,(nieznane),49,IB06290,,,
2809,5 000 zł,,,,Firmą,Działka przemysłowa,Nie,,2 000,,,,,6517,WJ02802,"
                
                                            Siła
                                    
            ",,2 000
2810,30 000 zł,,,,Firmą,Działka przemysłowa,Nie,,12 000,,,,,6517,WJ02804,"
                
                                            Siła
                                    
            ",,12 000
2811,12 500 zł,,,,Firmą,Działka przemysłowa,Nie,,5 000,,,,,6517,WJ02803,"
                
                                            Siła
                                    
            ",,5 000
2812,11 160 zł,,,2018,Firmą,Obiekt,Nie,,620,,,,Gazowe,,,,,
2813,16 440 zł,,,2013,Firmą,Biuro,Nie,,280,,,,Miejskie,,,,,
2814,30 645 zł,,Parter,2010,Firmą,Magazyn,Nie,1,2 287,,,,Gazowe,6517,WJ02402,"
                
                                            Miejsce parkingowe
                                    
            ",,
2815,16 874 zł,,,2010,Firmą,Biuro,Nie,,286,,,,Własne dla budynku,,,,,
2816,43 527 zł,,,2018,Firmą,Biuro,Nie,,"610,30",,,,Centralne,,,,,
2817,22 869 zł,,,2008,Firmą,Biuro,Nie,,363,,,,Własne dla budynku,,,,,
2818,73 274 zł,,,2015,Firmą,Biuro,Nie,,1 200,,,,Własne dla budynku,,,,,
2819,53 138 zł,,,2015,Firmą,Biuro,Nie,,838,,,,Własne dla budynku,,,,,
2820,28 852 zł,,,2008,Firmą,Biuro,Nie,,455,,,,Własne dla budynku,,,,,
2821,47 250 zł,,,2008,Firmą,Biuro,Nie,,750,,,,Własne dla budynku,,,,,
2822,13 420 zł,,,2013,Firmą,Biuro,Nie,,220,,,,Miejskie,,,,,
2823,58 080 zł,,,2018,Firmą,Biuro,Nie,,"886,40",,,,Centralne,,,,,
2824,"38 606,40 zł",,5,,Firmą,Biuro,Nie,6,"689,40",,,,Miejskie,,,,,
2825,"15 845,07 zł",,,2015,Firmą,Biuro,Nie,,250,,Do uzgodnienia,,Miejskie,,,,,
2826,"13 536,90 zł",,2,2009,Firmą,Biuro,Nie,,"300,82",,,,Inne,,,,,
2827,33 390 zł,,,2008,Firmą,Biuro,Nie,,530,,,,Własne dla budynku,,,,,
2828,16 440 zł,,,2015,Firmą,Biuro,Nie,,250,,,,Własne dla budynku,,,,,
2829,31 255 zł,,,2018,Firmą,Biuro,Nie,,477,,,,Centralne,,,,,
2830,32 175 zł,,,2013,Firmą,Biuro,Nie,,548,,,,Miejskie,,,,,
2831,8 807 zł,,,2013,Firmą,Biuro,Nie,,150,,,,Miejskie,,,,,
2832,14 850 zł,,,2015,Firmą,Biuro,Nie,,270,,Do uzgodnienia,,Miejskie,,,,,
2833,"7 327,20 zł",,2,,Firmą,Biuro,Nie,6,"122,12",,,,Miejskie,,,,,
2834,64 584 zł,,,2013,Firmą,Biuro,Nie,,1 100,,,,Miejskie,,,,,
2835,22 000 zł,,1,2013,Firmą,Biuro,Nie,3,500,,,,Miejskie,,,,,
2836,24 360 zł,,,2001,Firmą,Biuro,Nie,,580,,,,Własne dla budynku,,,,,
2837,16 815 zł,,,2010,Firmą,Biuro,Nie,,285,,,,Własne dla budynku,,,,,
2838,18 585 zł,,,2012,Firmą,Biuro,Nie,,295,,,,Własne dla budynku,,,,,
2839,27 500 zł,,,2015,Firmą,Biuro,Nie,,550,,,,,,,,,
2840,16 380 zł,,,2008,Firmą,Lokal usługowy,Nie,,260,,,,Własne dla budynku,,,,,
2841,22 427 zł,,,2019,Firmą,Biuro,Nie,,359,,Wolne od,,Własne dla budynku,,,,,
2842,80 449 zł,,,2019,Firmą,Biuro,Nie,,1 105,,,,Miejskie,,,,,
2843,13 613 zł,,,,Firmą,Biuro,Nie,,337,,,,Centralne,,,,,
2844,38 544 zł,,,2019,Firmą,Biuro,Nie,,617,,Wolne od,,Własne dla budynku,,,,,
2845,"36 782,72 zł",,5,2018,Firmą,Biuro,Tak,,"591,07",,,,C. O. Z SIECI MIEJSKIEJ,,,,,
2846,"20 284,80 zł",,,,Firmą,Biuro,Nie,,"422,60",,,,Miejskie,,,,,
2847,24 050 zł,,,2018,Firmą,Biuro,Nie,,370,,,,CO dla mieszkania,,,,,
2848,75 335 zł,,,2018,Firmą,Biuro,Nie,,1 159,,,,CO dla mieszkania,,,,,
2849,46 031 zł,,Parter,2012,Firmą,Biuro,Nie,5,700,,,,Własne dla budynku,,,,,
2850,"57 042,25 zł",,,2018,Firmą,Biuro,Nie,,900,,Tak jak w opisie,,Centralne,,,,,
2851,11 370 zł,,,2019,Firmą,Biuro,Nie,,182,,Wolne od,,Własne dla budynku,,,,,
2852,67 666 zł,,Parter,2012,Firmą,Biuro,Nie,,1 029,,,,Własne dla budynku,,,,,
2853,53 571 zł,,,2018,Firmą,Magazyn,Nie,,3 000,,,,Gazowe,,,,,
2854,11 926 zł,,Parter,,Firmą,Obiekt,Nie,,178,,,,,,SN679511,,,
2855,1 214 zł,1,3,1950,Firmą,Biuro,Nie,4,"25,40",,,,C. o. miejskie,4504,SU03657,"
                
                                            Winda
                                            Miejsce parkingowe
                                            Internet
                                    
            ",,
2856,137 896 zł,,,2018,Firmą,Magazyn,Nie,,6 521,,,,Gazowe,,,,,
2857,17 000 zł,,,2008,Firmą,Magazyn,Nie,,1 000,,,,Miejskie,,,,,
